id,name,directory,is_cumulative,has_taxid,in_ensemble
1,Metaphlan,results/MetaPhlAn_standard_db,true,false,true
2,BlastMeganFiltered,results/Blast-Megan/blast-megan-filtered-default,true,false,false
3,BlastMeganFilteredLiberal,results/Blast-Megan/blast-megan-filtered-liberal,true,false,true
4,DiamondMegan,results/Diamond,true,false,true
5,KrakenFiltered,results/Kraken_standard_db/filtered,true,true,true
6,Kraken,results/Kraken_standard_db/unfiltered,true,true,false
7,NBC,results/tmp/nbc,true,true,true
12,LMAT,results/tmp/lmat,false,true,true
13,ClarkM1Default,results/CLARK/automated_build/clark-m1-default,false,true,true
14,ClarkM4Spaced,results/CLARK/automated_build/clark-m4-spaced,false,true,true
19,PhyloSift,results/Phylosift/automated_build/phylosift-100pct,false,true,true
20,PhyloSift90pct,results/Phylosift/automated_build/phylosift-90pct,false,true,false
21,MetaFlow,,,,true
22,Gottcha,,,,true
23,Gottcha-strain,,,,false
24,bmfmetagotlmat-average,,,,false
25,diakrametagotlmat-average,,,,false
26,DiamondMeganKrakenFiltered,,,,false
27,BlastMeganFilteredLMAT,,,,false
28,ClarkM1DefaultGottcha,,,,false
