,RH1,RH2,RH3,RH4,RH5,RM11,RM12,RM21,RM22,RL,fail,pass,strain
BlastMegan,61873340.8,62096088,61785292.8,62033304,62274144,62666704,61538240,62763397.33,61728288,60314309.33,52422910.4,53676752,68330256
CLARK,91274640,91274004,91272400,91274380,91284556,68371304,68367272,91365728,91368604,91271112,57021644,57137812,57000000
CLARK-S,108941312,108941312,108941932,108941312,108941312,108943328,108943240,108943488,108943272,108941316,108124456,108243388,108000000
DiamondMegan,107209840,106621616,106956048,,106769072,83044896,83814000,103145760,104661120,100605056,40563392,42776736,9790528
GOTTCHA,12597140,12546856,12569824,12527744,12544436,12726664,12783816,12815652,12829312,12652444,10122856,10124380,11494932
Kraken,78824556,78824548,78824548,78824540,78824548,78824568,78824796,78824692,78824788,78824608,78817980,78820184,78833624
LMAT,91890112,70792624,96505408,98435920,98942704,69762064,78433024,27079400,88974864,87539264,52946816,61052720,8760928
MetaFlow,31403916,31423216,31428620,31393592,31498268,31360284,31449652,31336372,31356764,31413464,1596248,2057764,7154768
MetaPhlAn,2259144,2242836,2249684,2232216,2243028,2256396,2230252,2235492,2244048,2247048,11080984,16298128,2212736
NBC,,,,,,,,,,,8000000,8000000,8000000
PhyloSift,7588680,7588680,7588336,7588680,7590328,7588676,7590332,7593804,7593800,7578248,3038728,7632100,4293284
gzip filesize (GB),10.667,10.67,10.669,10.666,10.665,3.532,3.547,10.645,10.686,10.688,0.014,0.069,0.051
