,RH1,RH2,RH3,RH4,RH5,RM11,RM12,RM21,RM22,RL,fail,pass,strain
BlastMegan,1916591.4,2042460.5,2498889.9,2693845.833,2032337.833,843641,653148.5,2215180,2147497,1635333.833,147571.7,124965.3,48810.65
CLARK,2115.46,1007.69,957.51,994.06,966.99,448.11,381.62,1001.34,1144.66,896.1,69.78,74.28,1181.52
CLARK-S,12802.55,10979.08,10937.81,10934.51,11088.08,3769.47,3828.49,10881.37,10695.05,10957.88,439.66,474.85,3162.33
DiamondMegan,238526.16,170834.45,152350.3,,167609.92,118018.53,68169.74,188519.93,334828.64,234921.51,1842.2,2640.57,6991.04
GOTTCHA,2351.81,2253.66,2328.7,2250.91,2316.5,878.45,953.05,1976.79,2463.23,2316.25,52.91,57.7,104.07
Kraken,2544.68,2757.64,1567.86,1666.37,1535.5,774.13,960.65,1379.59,1385.11,1358.62,631.84,447.54,626.46
LMAT,2406.96,4922.3,2106.45,2305.4,2330.3,910.55,681.95,3638.77,2146.48,1950.59,27.01,47.53,21.81
MetaFlow,9274.39,9433.66,9632.47,8558.61,7861.82,8946.91,8033.45,10532.44,10157.37,8377.36,243.42,394.02,6097.21
MetaPhlAn,674.87,676.81,656.69,682.02,671.12,281.57,275,715.88,709.78,675.85,80.45,104.09,78.13
NBC,,,,,,,,,,,33053,64035,91559
PhyloSift,1136437.4,1186043.6,1175298.8,1177231.4,1167470.5,376410.9,373503.9,1196718.2,1169396.3,1096797.5,1230.05,3364.47,9635.27
gzip filesize (GB),10.667,10.67,10.669,10.666,10.665,3.532,3.547,10.645,10.686,10.688,0.014,0.069,0.051
